titel1,titel2,titel3,titel4,frage,antwort
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Was versteht man unter einem Projekt?","Ein Projekt ist ein zeitlich begrenztes Einzelvorhaben mit einem definierbaren Anfang und Ende, das sich durch die Einzigartigkeit der Bedingungen auszeichnet."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Als Projekt wird jedes ... mit einem definierbaren Anfang und Ende bezeichnet","Einzelvorhaben"
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Welche typischen Begrenzungen gibt es bei einem Projekt?","Typische Begrenzungen bei Projekten sind Budget, Zeit und Ressourcen."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Was zeichnet Projekte im Vergleich zu Routineaufgaben aus?","Im Gegensatz zu routinemäßigen Aufgaben zeichnen sich Projekte durch Unwägbarkeiten und Einmaligkeit der Bedingungen aus."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Was versteht man unter dem primären Projektziel?","Das übergeordnete Ziel, das der Sinn und Zweck des Projekts ist."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Was versteht man unter den sekundären Projektzielen?","Untergeordnete Teilziele, die das Erreichen des Primärziels unterstützen."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Warum sind Projektziele wichtig?","Ohne Ziel fehlt die Ausrichtung, ohne untergeordnete Ziele die Messbarkeit des Projekterfolgs."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Was ist Projektmanagement?","Die Analyse, Planung, Durchführung und Bewertung von Projekten."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Warum brauchen wir Projektmanagement?","Projektmanagement sichert den Projekterfolg innerhalb von Zeit, Kosten und Qualität."
"1. Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen","01 Merkmale und Methoden des Projektmanagements kennen, beurteilen, ergänzen können & 02 Machbarkeit von Projekten beurteilen können","","","Wie sollten Ziele am besten definiert werden?","Durch die SMART-Methode"
